src,brand,prod_name,prod_price,prod_discount,prod_link,prod_thumbnail,2차분류
toun28,toun28,샴푸바 (두피장벽강화) S21 검은콩,1100,1100,https://www.toun28.com/renew/product/23,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/23/공통_S21_thum.png,샴푸바
toun28,toun28,샴푸바 (지성/각질케어) S18 다시마,1100,1100,https://www.toun28.com/renew/product/20,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/20/공통_S18_thum.png,샴푸바
toun28,toun28,샴푸바 (윤기/건성) S19P(퍼퓸) 바오밥,1100,1100,https://www.toun28.com/renew/product/262,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/262/S19P_280x295_제품 복사.png,샴푸바
toun28,toun28,샴푸바 (두피쿨링/남성용) S20 멘톨,1100,1100,https://www.toun28.com/renew/product/22,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/22/공통_S20_thum.png,샴푸바
toun28,toun28,샴푸바 (두피쿨링) V1 블루비오틴,1800,1800,https://www.toun28.com/renew/product/290,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/290/V1_280.png,샴푸바
toun28,toun28,"두피 토닉 + 샴푸바 V1, 블루비오틴 SET",3800,3800,https://www.toun28.com/renew/product/303,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/303/v1_tonic_280_.png,-
toun28,toun28,두피 토닉 블루비오틴 100ml,2200,2200,https://www.toun28.com/renew/product/302,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/302/tonic_280.png,-
toun28,toun28,덴티크러쉬 고체치약 & 칫솔 세트,3800,3800,https://www.toun28.com/renew/product/388,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/388/4_385_280.png,-
toun28,toun28,세탁용 S13 EM발효액,800,800,https://www.toun28.com/renew/product/46,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/46/e13_sum.png,세제
toun28,toun28,<3+1> 설거지바 (유기농 오곡/쌀) S26 건강세정 3개입+1개 증정,2200,2200,https://www.toun28.com/renew/product/95,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/95/s26_3_1_list_3.png,주방세제
toun28,toun28,<3+1> 설거지바 (숯/유기농 귀리) S27 단단세정 3개입+1개 증정,2200,2200,https://www.toun28.com/renew/product/96,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/96/s27_3_1_list_3.png,주방세제
toun28,toun28,<3+1> 설거지바 (유기농 솝베리) S28 자연세정 3개입+1개 증정,2200,2200,https://www.toun28.com/renew/product/97,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/97/s28_3_1_list.png,주방세제
toun28,toun28,<3+1> 설거지바 (자몽/생강) S29 안심세정 3개입+1개 증정,2200,2200,https://www.toun28.com/renew/product/98,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/98/s29_3_1_list.png,주방세제
